Query,Rank,Product,Product_Rating,is_BestSeller,is_BestValue,is_Trending,is_Ad,is_FAssured,No_of_Ratings_and_Reviews,Seller_Name,Seller_Rating,Seller_Since,Seller_Product_Quality,Seller_Service_Quality
refrigerator,35,"Whirlpool 190 L Direct Cool Single Door 3 Star (2020) Refrigerator  (Solid blue, WDE 205 CLS 3S BLUE)",4.3,False,False,False,False,True,"33,676 Ratings & 3,963 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,36,"LG 420 L Frost Free Double Door 3 Star (2020) Refrigerator  (Shiny Steel, GL-I472QPZX)",4.5,False,False,False,True,True,381 Ratings & 46 Reviews,RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,37,"Whirlpool 265 L Frost Free Double Door 3 Star (2020) Convertible Refrigerator  (Argyle Black, IF INV CNV 278 ARGYLE BLACK (3S)-N)",4.2,False,False,False,False,True,"7,182 Ratings & 848 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,38,"Samsung 253 L Frost Free Double Door 2 Star (2020) Convertible Refrigerator  (Pebble Blue, RT28T3782UT/HL)",4.4,False,False,False,False,True,785 Ratings & 81 Reviews,RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,39,"Whirlpool 265 L Frost Free Double Door 2 Star (2020) Refrigerator with Glass Door  (Crystal Black, Neo 278GD PRM Crystal Black (2S)-N)",4.3,False,False,False,False,True,152 Ratings & 24 Reviews,OmniTechRetail.,4.1,4 years 0 months,3.2,5.0
refrigerator,40,"LG 215 L Direct Cool Single Door 4 Star (2020) Refrigerator  (Amber Steel, GL-B221AASY)",4.4,False,False,False,True,True,172 Ratings & 20 Reviews,RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,41,"Samsung 192 L Direct Cool Single Door 2 Star (2020) Refrigerator  (Star Flower Red, RR19T271BR2/NL)",4.3,False,False,False,False,True,"6,298 Ratings & 662 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,42,"Samsung 192 L Direct Cool Single Door 3 Star (2020) Refrigerator  (Star Flower Blue, RR20T172YU2/HL)",4.4,False,False,False,False,True,"1,832 Ratings & 236 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,43,"LG 235 L Direct Cool Single Door 4 Star (2020) Refrigerator with Base Drawer  (Blue Charm, GL-D241ABCY)",4.4,False,False,False,False,True,"2,286 Ratings & 262 Reviews",OmniTechRetail.,4.1,4 years 0 months,3.2,5.0
refrigerator,44,"LG 215 L Direct Cool Single Door 4 Star (2020) Refrigerator  (Purple Glow, GL-B221APGY)",4.4,False,False,False,True,True,"2,286 Ratings & 262 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,45,"Samsung 253 L Frost Free Double Door 2 Star (2020) Convertible Refrigerator  (Saffron Red, RT28T3922R8/HL)",4.4,False,False,False,False,True,785 Ratings & 81 Reviews,OmniTechRetail.,4.1,4 years 0 months,3.2,5.0
refrigerator,46,"Haier 195 L Direct Cool Single Door 4 Star (2020) Refrigerator with Base Drawer  (Black Blossom, HRD-1954PKB-E)",4.4,False,False,False,False,True,873 Ratings & 125 Reviews,OmniTechRetail.,4.1,4 years 0 months,3.2,5.0
refrigerator,47,"Whirlpool 260 L Frost Free Triple Door Refrigerator  (Alpha Steel (N), FP 283D PROTTON ROY ALPHA STEEL (N))",4.4,False,False,False,False,True,"9,610 Ratings & 1,585 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,48,"LG 270 L Direct Cool Single Door 3 Star (2020) Refrigerator  (Shiny Steel, GL-B281BPZX)",4.3,False,False,False,True,True,491 Ratings & 62 Reviews,RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
shoes,1,Combo pack of 3 Men Sports & Running Sports Shoes Walking Shoes For Men  (Multicolor),3.7,False,False,False,True,False,256 ratings and 36 reviews,Volve.,3.3,11 months,3.0,3.6
shoes,2,Zion -1 Spikes Running Shoes For Men  (Multicolor),4.0,False,False,False,True,True,"3,904 ratings and 556 reviews",RetailNet.,4.5,4 years 5 months,4.0,5.0
shoes,3,Lightweight Gymwear Sport Running Shoes For Men Walking Shoes For Men  (Black),3.8,False,False,False,False,True,"2,483 ratings and 271 reviews",Digitrendzz.,3.7,2 years 11 months,2.8,4.7
shoes,4,Running Shoes For Men  (Black),3.7,False,False,True,False,True,"11,177 ratings and 1,383 reviews",MilesWalker.,3.7,2 years 5 months,2.6,4.7
shoes,5,Walking Shoes For Men  (Orange),4.2,False,False,False,False,True,764 ratings and 103 reviews,LAYASA .,3.9,4 years 11 months,2.9,5.0
shoes,6,"WNDR-13 Running Shoes For Men  (Green, Grey)",4.1,False,False,False,False,True,"2,21,947 ratings and 35,503 reviews",Asianshoe.,4.1,5 years 5 months,3.6,4.5
shoes,7,Running Shoes For Men  (Grey),3.6,False,False,False,False,True,"11,489 ratings and 1,478 reviews",OnlineBasket.,3.6,3 years 4 months,2.7,4.6
shoes,8,"Mesh Running Shoes ,Cricket Shoes Running Shoes For Men (Black) Walking Shoes For Men  (Black)",3.7,False,False,False,False,True,"36,017 ratings and 4,714 reviews",MilesWalker.,3.7,2 years 5 months,2.6,4.7
shoes,9,Running Shoes For Men  (Orange),4.1,False,False,False,False,True,"12,061 ratings and 1,770 reviews",DadwaniFootwear.,4.6,2 years 6 months,4.1,5.0
shoes,10,"445 Sports Shoes (Walking & Gym Shoes) Running Shoes For Men  (White, Blue)",3.8,False,False,False,False,True,"21,875 ratings and 2,603 reviews",Pexlo.,4.2,4 years 7 months,3.3,5.0
shoes,11,Combo Pack of 4 Casual Sneakers With Sneakers For Men  (Multicolor),4.1,False,False,False,False,True,"8,381 ratings and 1,168 reviews",SuperZone,0.4,5 years 2 months,3.0,4.9
shoes,12,Combo Pack of 3 Casual Slip On Sneakers For Men  (Blue),3.8,False,False,False,False,True,"46,703 ratings and 6,114 reviews",SuperZone,0.4,5 years 2 months,3.0,4.9
shoes,13,Sneakers For Men  (Red),4.0,False,False,False,False,False,509 ratings and 48 reviews,HotstyleProducts.,4.1,3 years 4 months,3.3,4.9
shoes,14,"Casual Party Wear New Stylish Canvas Shoes For Mens And Boys For Men  (Orange, Black)",4.0,False,False,False,True,True,"10,775 ratings and 1,740 reviews",SUHANEYSHOES.,4.1,4 years 10 months,3.1,5.0
shoes,15,Casual shoes Sneakers For Men  (Grey),3.9,False,False,False,False,True,"31,016 ratings and 4,351 reviews",Digitrendzz.,3.7,,,
shoes,16,"Casual , Partywear Sneakers Shoes For Men's And Boys White Color Sneakers For Men  (White)",4.0,False,False,False,False,True,"42,220 ratings and 6,022 reviews",DICY.,4.6,3 years 5 months,4.1,5.0
shoes,17,Perfect Stylish Girls Casual Shoes Sneakers For Women  (Pink),4.2,False,False,False,False,True,"3,039 ratings and 468 reviews",Uppercircuit.,4.5,2 years 5 months,4.1,4.9
shoes,18,Running Shoes For Men  (Black),3.8,False,False,False,False,True,"8,430 ratings and 1,018 reviews",AADISHOES,0.4,4 years 10 months,3.0,5.0
